product_name,rating_count,img_link,rating
"amazon, basics, wireless, mouse, ghz, connecti...",23,https://m.media-amazon.com/images/I/31+Rg6Z46d...,5.0
"redtech, usb, c, lightning, cable, ft, apple, ...",0,https://m.media-amazon.com/images/I/31-q0xhaTA...,5.0
"syncwire, ltg, usb, cable, fast, charging, com...",5,https://m.media-amazon.com/images/I/317OoQfs1g...,5.0
"swiffer, instant, electric, water, heater, fau...",53803,https://m.media-amazon.com/images/I/41+t2HWvwF...,4.8
"instant, pot, air, fryer, vortex, 2qt, touch, ...",3964,https://m.media-amazon.com/images/W/WEBP_40237...,4.8
"oratech, coffee, frother, electric, milk, frot...",28,https://m.media-amazon.com/images/W/WEBP_40237...,4.8
"figment, handheld, milk, frother, rechargeable...",1729,https://m.media-amazon.com/images/I/51oN+8Zs5Y...,4.7
"multifunctional, 2, 1, electric, egg, boiling,...",2300,https://m.media-amazon.com/images/W/WEBP_40237...,4.7
"campfire, spring, chef, prolix, instant, porta...",2591,https://m.media-amazon.com/images/W/WEBP_40237...,4.7
"sony, bravia, 164, cm, 65, inches, 4k, ultra, ...",5935,https://m.media-amazon.com/images/I/51uVckL1jR...,4.7
